"question","response","timestamp"
"encouraged_to_vote","Yes","2018-11-06 13:15:01"
"encouraged_to_vote","Yes","2018-11-06 14:07:27"
"encouraged_to_vote","Yes","2018-11-06 14:45:36"
"encouraged_to_vote","Yes","2018-11-06 16:20:24"
"encouraged_to_vote","Yes","2018-11-06 16:26:14"
"encouraged_to_vote","Yes","2018-11-06 16:41:14"
"encouraged_to_vote","Yes","2018-11-06 17:06:23"
"encouraged_to_vote","Yes","2018-11-06 17:07:26"
"encouraged_to_vote","Yes","2018-11-06 17:09:59"
"encouraged_to_vote","Yes","2018-11-06 17:52:16"
"encouraged_to_vote","Yes","2018-11-06 17:52:26"
"encouraged_to_vote","Yes","2018-11-06 18:07:08"
"encouraged_to_vote","Yes","2018-11-06 19:22:22"
"encouraged_to_vote","Yes","2018-11-06 19:37:58"
"encouraged_to_vote","Yes","2018-11-06 21:29:35"
"encouraged_to_vote","Yes","2018-11-06 22:35:46"
"encouraged_to_vote","No","2018-11-06 22:48:46"
"encouraged_to_vote","Yes","2018-11-10 20:23:53"
"encouraged_to_vote","Yes","2018-11-12 13:15:04"
